"","id","bonus"
"1","63f0ac76a8c1914f6f163539",0.38
"2","5b78a7530d470c000127db1d",0.38
"3","6507355f07adea6bb9abb279",0.47
"4","654912c2d243a7753e1b4934",0.67
"5","64a28867d563defa33ac8d58",0.59
"6","60fa9b17c5f485add54e64c8",0.64
"7","5f0f59f3bc44f50f92845a05",0.66
"8","616c3cbc9f45e7120b08bad6",0.4
"9","5d7a1fce27fb8a000196993e",0.52
"10","64b53cb9f438ca54a2ca5065",0.6
"11","645e69d2ca74f48dfbdf72c5",0.55
"12","6150cc5a332d6c8fd03cc5a4",0.57
"13","601941db6605160008690742",0.33
"14","5c6dd18f4e08ad00018cc5f6",0.44
"15","6105855d248911287fec997f",0.52
"16","60cd4163cac5b0ece5de76a9",0.52
"17","5f1ec70a8a38e20008c19472",0.42
"18","5eb9a6fad80e5e0c1fc3a783",0.44
"19","65a8e00416fa6566fcd58051",0.4
"20","6172078b966225960be2a7b5",0.54
"21","5ed377271691ea000c548cb0",0.6
"22","611dfd887f3a8a1fc3f1db46",0.52
"23","60eec0367a7cc5ea6ed0e099",0.48
"24","6455490f7c5f35e4221a810a",0.51
"25","5dfedfbb557425b599c8c523",0.46
"26","614f6bad672ef7cf5ecfd965",0.6
"27","6474afa42dfd4e34a55082b3",0.66
"28","64871d208781227e5188a1b5",0.65
"29","5b2bcfb51835660001cc6751",0.56
"30","6088a7e22d5b98ef3f813a22",0.5
"31","5fad37c84f68b43ef712d29f",0.49
"32","5ee4a14b578f8a000b384376",0.71
"33","60a0dfc6f9936b0d30dfea15",0.42
"34","5fd69a0014c3b25ee539f66b",0.55
"35","63287c548c0d66d1e300fd64",0.48
"36","61687ebcd2a35ffb762d1928",0.48
"37","6450ca7370b4914f3e8822c6",0.51
"38","615024818c0798f950215d49",0.35
"39","5d01006f8a840b00195c2159",0.42
"40","5e8246fd32be46974fd265d2",0.37
"41","5fd85707af5bd719a5e20419",0.29
"42","61034f24da19cc56177b8b59",0.4
"43","6089cd0a1c1541c29bb34c73",0.48
"44","5c3a57328573720001af76be",0.75
"45","6137753896c9b6b5813a2432",0.49
"46","645aa9659a8d39a1ac7b451a",0.15
"47","610063b7b50c4e9488e77eca",0.48
"48","5bd2fb9c25db7b000178e5d5",0.42
"49","5f0219dce0d2de3a5179d1aa",0.39
"50","6163264fa94cc08756567f81",0.69
"51","5e21a211061ea84908aaf512",0.51
"52","60a50457d02bfc23c02d4717",0.56
"53","611cfda46e28a6675bc39937",0.37
"54","5aad68f74ea21d000101c20c",0.54
"55","6470b898db27d7dae24e98c4",0.53
"56","654b1ff28c0214e793afb8aa",0.44
"57","60ed8268abc6a576ff4f9318",0.58
"58","5d159d0a8078020016aa60b9",0.56
"59","615f09d51152027754156b2b",0.52
"60","5eb03bbe9d57e50aca80dd11",0.55
"61","5efde724d80f81077c0800b9",0.67
"62","5cf67b30c5cf0e00010c00fc",0.55
"63","601c12910f9e0667aac68919",0.57
"64","5ef698a927c8ea38d5bcc192",0.62
"65","64803fe717b0a137be421ae1",0.53
"66","64f88a2d085c13dabd8327d2",0.37
"67","5de3c83c2033793be6591e53",0.44
"68","57db00fcb9fb6f0001dda512",0.53
"69","6137b173cb7545edf5e05406",0.46
"70","5c42bd813be7b70001fd1973",0.47
"71","5fac05b9a1e0a60f8effd45b",0.45
"72","60f88d7fef1959734061e5a7",0.44
"73","5b2a2d855b5c0900018b0bf5",0.54
"74","63d0e55975e5beb4cdb7b188",0.35
"75","659ed34a88131f4ef36fdafe",0.46
"76","5fc13dd92e8c1e1439d6d18b",0.37
"77","5b05a401f1810a0001e52002",0.4
"78","5ec0cd1d56b9d94e97a3171d",0.47
"79","6102f00212f0ce63ba98bcf3",0.42
"80","5ee3c9a7236bef095fd67d0e",0.59
"81","5cbcadbe0b073500018c5f73",0.43
"82","59b636b3180e830001575d2a",0.5
"83","60fe38f3c4e7acd0c70442e7",0.32
"84","6483825404dd52c9b6558951",0.52
"85","58a470a2ef58a9000119c101",0.39
"86","5b76e19d948cc40001da0e50",0.57
"87","610ae838f1cfd67e476b7a4d",0.51
"88","651b39c5f6118bf1c880a613",0.5
"89","611fbf86423c9a875559377d",0.61
"90","5eaae0b28ba2df0570296c3a",0.55
"91","653d14bc14d143d888af01b0",0.3
"92","65be752a42494ba9f82fc7a2",0.62
"93","5e3ddcf95556b204cb143eab",0.38
"94","6554cfc335ac9ff968a5f162",0.7
"95","5fa183a3cfef162923bec47d",0.55
"96","612f6dca3e6093ed70efca96",0.52
"97","5a6fd0626923df0001ef977b",0.64
"98","6578c601a6e441c8081b671e",0.41
"99","5ea45cef8908c90754e9bace",0.42
"100","601d2aa3cf8c480009fc0719",0.57
"101","57c426fa9fe51d00012391f1",0.4
"102","5f44523c710db47a032bfa36",0.47
"103","5f09014a50389c18e30f42b3",0.32
