Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6569f9d0ee29530ab9a31246,651ac3b483319dbbd6faffab,APPROVED,2023-12-01T15:20:48.970000Z,2023-12-01T16:15:33.543000Z,2023-12-01T16:26:40.640000Z,2023-12-01T16:15:34.240578Z,3285.0,37FC058A,31,44,Male,White,France,France,France,French,No,Part-Time,
6569faa3590c97c53d8f935d,5c573b734dabe6000176ac3d,APPROVED,2023-12-01T15:24:19.759000Z,2023-12-01T16:05:15.932000Z,2023-12-01T16:26:39.263000Z,2023-12-01T16:05:16.575288Z,2457.0,37FC058A,331,28,Male,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
656a07bab95942b8ba369621,5b2a72f7c293b90001732b89,APPROVED,2023-12-01T16:20:41.391000Z,2023-12-01T16:50:49.012000Z,2023-12-01T17:13:26.643000Z,2023-12-01T16:50:49.546654Z,1808.0,37FC058A,1615,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
656a07f2944fbbc5d090cd75,6095b18d2259069adefeb80a,APPROVED,2023-12-01T16:21:58.674000Z,2023-12-01T17:24:34.325000Z,2023-12-22T00:00:17.366000Z,2023-12-01T17:24:34.791184Z,3756.0,37FC058A,222,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),
656a07f5cd31602c38355410,5d5819147ca41f001ae97338,APPROVED,2023-12-01T16:21:09.027000Z,2023-12-01T17:05:36.507000Z,2023-12-01T17:13:28.847000Z,2023-12-01T17:05:37.033825Z,2668.0,37FC058A,196,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,
656a13668426470bfae15b6d,6130c7f7d0112fa23b17079c,APPROVED,2023-12-01T17:11:19.461000Z,2023-12-01T17:50:57.445000Z,2023-12-22T00:00:17.808000Z,2023-12-01T17:50:57.974343Z,2378.0,37FC058A,1367,24,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
656a13668ab04f294eb3f5d7,5f7d002d141e4e1c0e84e98e,APPROVED,2023-12-01T17:09:58.663000Z,2023-12-01T17:48:15.095000Z,2023-12-22T00:00:18.352000Z,2023-12-01T17:48:15.768695Z,2297.0,37FC058A,987,45,Female,White,Italy,Italy,Italy,Italian,Yes,Full-Time,
656a136d5e531d556db27d0a,6453c2df1b56ea2d0b96df79,APPROVED,2023-12-01T17:10:05.728000Z,2023-12-01T18:11:50.359000Z,2023-12-22T00:00:18.687000Z,2023-12-01T18:11:51.057880Z,3705.0,37FC058A,213,25,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,
656a1393d3cd12c32a937271,607ee7232fb723e021ea8bd5,APPROVED,2023-12-01T17:10:43.294000Z,2023-12-01T17:58:34.233000Z,2023-12-22T00:00:19.052000Z,2023-12-01T17:58:34.696032Z,2871.0,37FC058A,998,38,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED,
656a13a3d41d475b47f01a44,5fb680f7e13f87000aa59a9a,APPROVED,2023-12-01T17:11:06.128000Z,2023-12-01T17:52:14.705000Z,2023-12-22T00:00:19.429000Z,2023-12-01T17:52:15.193460Z,2469.0,37FC058A,311,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,
656a14b0d44cd06f06f85e4a,652d42521776368552cd2d15,APPROVED,2023-12-01T17:15:38.610000Z,2023-12-01T18:01:05.148000Z,2023-12-22T00:00:19.862000Z,2023-12-01T18:01:05.667235Z,2727.0,37FC058A,33,34,Female,White,France,France,France,English,No,Full-Time,
656a14b900527a05d8f2ab4d,5baa7acf14779d0001a23968,APPROVED,2023-12-01T17:15:37.927000Z,2023-12-01T18:00:33.210000Z,2023-12-22T00:00:20.220000Z,2023-12-01T18:00:33.720801Z,2696.0,37FC058A,1085,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
656a137313eff0b85b7239e7,631610af8e747093cd90e00d,RETURNED,2023-12-01T17:10:13.905000Z,,,,,,1303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
